Mon Jan 22 16:27:20 CET 2018 :  Beginning of Experiment f05_5AGCMs_NASPG_average
Mon Jan 22 16:27:20 CET 2018 :  1 11010101 f05_5AGCMs_NASPG_average  - start
Mon Jan 22 16:28:12 CET 2018 :  167 20000101 f05_5AGCMs_NASPG_average  - start
Mon Jan 22 16:36:02 CET 2018 :  167 20000101 f05_5AGCMs_NASPG_average  - start
Mon Jan 22 16:36:31 CET 2018 :  167 18590101 f05_5AGCMs_NASPG_average  - start
Mon Jan 22 17:43:37 CET 2018 :  167 18590101 f05_5AGCMs_NASPG_average  - start
Mon Jan 22 18:32:18 CET 2018 :  167 18600101 f05_5AGCMs_NASPG_average  - done
Mon Jan 22 18:32:27 CET 2018 :  168 18600101 f05_5AGCMs_NASPG_average  - start
Tue Jan 23 10:40:23 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_average  - start
Tue Jan 23 10:48:38 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_average  - start
Tue Jan 23 11:00:46 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_average  - start
Tue Jan 23 14:47:35 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_average  - start
Tue Jan 23 14:58:45 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_average  - start
Tue Jan 23 14:59:46 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_average  - start
Tue Jan 23 15:47:41 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_average  - start
Tue Jan 23 15:49:00 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_average  - start
