Sun Apr 01 22:48:00 CEST 2018 :  Beginning of Experiment f06_5AGCMs_NASPG_average
Sun Apr 01 22:48:00 CEST 2018 :  1 11010101 f06_5AGCMs_NASPG_average  - start
Sun Apr 01 23:06:33 CEST 2018 :  2 185901 f06_5AGCMs_NASPG_average  - start
Sun Apr 01 23:06:44 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_average  - start
Sun Apr 01 23:07:58 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_average  - start
Sun Apr 01 23:11:04 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Sun Apr 01 23:13:14 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 05:09:38 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 05:16:07 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 05:22:17 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 05:28:20 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 05:34:15 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 05:40:11 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 05:46:13 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 05:52:11 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 05:58:13 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 06:04:11 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 06:10:07 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 06:16:18 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 06:22:14 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 06:28:17 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 06:34:12 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 06:40:07 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 06:46:08 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 06:52:04 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 06:58:06 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 07:04:09 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 07:10:15 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 07:16:10 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 07:22:05 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 07:28:07 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 07:34:06 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 07:40:01 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 07:46:04 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Tue Apr 03 07:52:00 CEST 2018 :  2 18590101 f06_5AGCMs_NASPG_sample  - start
Wed Apr 04 01:15:36 CEST 2018 :  2 19500101 f06_5AGCMs_NASPG_sample  - start
Wed Apr 04 01:16:29 CEST 2018 :  2 19500101 f06_5AGCMs_NASPG_sample  - start
Wed Apr 04 01:18:50 CEST 2018 :  2 19500101 f06_5AGCMs_NASPG_sample  - start
